Row #,Dept. Descr,Acad Org,Course ID,Offer Nbr,Offered,Last Offered,Subject,Catalog Nbr,Course Title,(D),(Q),(W),Xlist,Primary/Secondary,Course Descr,Cls Format,Rqmt/Eval,Prereqs,Enrl Limit,Exp Cls Sz,Preferences,Dept Notes,Distrib Notes,Extra Info,Extra Info2,Matl/Lab Fee,Division,EDI,QFR,WI,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attrbute10,Section,Component,Pat1,Start Time1,End Time1,WMS Facl Dsc 1,Pat2,Start Time2,End Time2,WMS Facl Dsc 2,Pat3,Start Time3,End Time3,WMS Facl Dsc 3,Last Name 1,First Name 1,Last Name 2,First Name 2,Last Name 3,First Name 3,Last Name 4,First Name 4,Last Name 5,First Name 5,Last Name 6,First Name 6,Subject Sort,Catalog Nbr Sort,Term Sort
1,American Studies,AMST,019830,2,Spring 2015,,AMST, 255,"U.S. Cuban Life-Writing: Nationalism, Narrative, and Exile",(D),,,LATS 254/AMST 255/COMP 254/ENGL 243,Secondary,"This course introduces students to the genres of life-writing that have become principal forms of artistic, social, and cultural expression amongst Cubans in the United States. Learning about several examples of life-writing including memoir, autobiography, testimonio, and the bildungsroman, students will question how literary form is linked not only to culture but also to the social, economic, and political conditions out of which authors and writings emerge. Common themes or narrative arcs across U.S. Cuban life-writing will be charted throughout the semester in order to understand the currency of particular stories of exile, displacement, and the American dream. The primary question of the course asks: how, and towards what ends, are the genres of life-writing utilized, adapted, and revised by those disavowed by the nation? Readings will include works by Eduardo Machado, Carlos Eire, Virgil Suarez, Gustavo Perez Firmat, Olga Karman, Evelio Grillo, Pablo Medina, Emilio Bejel, Mirta Ojita, and Emilio Estefan. This course works under the Exploring Diversity Initiative's theme of empathetic understanding allowing students to think through the experiences of exile, as well as the theme of power and privilege, examining how U.S. Cuban exile and writing about it has been structured by political, social, and economic institutions.",lecture,"students will be evaluated based on weekly journal writings, two short papers, a final comprehensive project, as well as classroom participation",none,30,,LATS concentrators,,meets Division 1 requirement if registration is under COMP and ENGL; meets Division 2 requirement if registration is under AMST or LATS,may not be taken on a pass/fail basis; not available for the Gaudino option,,,Division 2,Exploring Diversity,,,LATS Core Electives,,,,,,,,,,01,LEC,TR,09:55,11:10,,,,,,,,,,Hernández,Jesús,,,,,,,,,,,AMST, 255,1153
1,American Studies,AMST,020050,2,Spring 2015,,AMST, 263,Cold War Technocultures,,,,SOC 263/AMST 263/HIST 363/HSCI 263/SCST 263,Secondary,"With the Soviet Union¿s collapse at the end of the twentieth century and the emergence of the United States as an unchallenged victor and ""new world"" hegemon, have we lost a sense of the drama, fear, and unbridled terror that permeated American life during the Cold War? In this course we will set out to understand Cold War American culture(s) by examining the intersection of politics, aesthetics, and a range of major technoscientific developments during this period. The course will take shape in three parts. Part I will explore the emergence and role of the computer in shaping the distinctly American style of thought aimed at Soviet ""containment"". We will furthermore trace historical treads connecting MIT's legendary Whirlwind computer, the SAGE continental air defense system, nuclear wargaming at the RAND Corporation, artificial intelligence, and the advanced technologies, management strategies, and atrocities of the Vietnam War. Part II takes up the symbolic potency of the space race, which we will use as a conduit through which to explore the following events and developments: Sputnik, Yuri Gagarin's spaceflight, the Apollo moon landing, and American civil defense; the postwar science of cybernetics and the emergence of the now iconic cyborg; the Club of Rome's {Limits to Growth}report and the Gaia hypothesis; plans backed by NASA for the industrialization, humanization, and colonization of outer space; and  Ronald Reagan's Strategic Defense Initiative, '""Star Wars"". Finally, case studies considered in Part III will focus on moments of conflict and resistance, appropriation, and unintended consequences of the preceding and other Cold War technological developments, among them antipsychiatry and environmentalism; Project Cybersyn, an infrastructural causality of the US/CIA-backed Chilean coup of 1973; the American counterculture and the countercultural roots of neoliberalism(s).",seminar,"weekly discussion precis, film screenings, class presentations, and a final research project decided in consultation with the instructor",none,19,19,preference will be given to students with a demonstrated interest in the study of Cold War science and technology,,,,,,Division 2,,,,,,,,,,,,,,01,SEM,W,01:10,03:50,,,,,,,,,,Shoffstall,Grant,,,,,,,,,,,AMST, 263,1153
1,American Studies,AMST,010389,2,Fall 2014,,AMST, 264,"American Art and Architecture, 1600 to Present",,,,ARTH 264/AMST 264,Secondary,"American art is often looked at as a provincial version of the real thing--i.e., European art--and found wanting. This course examines American architecture, painting, and sculpture on its own terms, in the light of the social, ideological and economic forces that shaped it. Special attention will be paid to such themes as the Puritan legacy and attitudes toward art; the making of art in a commercial society; and the tension between the ideal and the real in American works of art.",lecture,"15-page research paper (divided into an annotated bibliography, first draft and revised draft); weekly study questions on the readings; final 15-minute oral exam",ARTH 101-102 or permission of instructor,60,,,,meets Division 1 requirement if registration is under ARTH; meets Division 2 requirement if registration is under AMST,,,,Division 1,,,,AMST Arts in Context Electives,AMST Space and Place Electives,,,,,,,,,01,LEC,MR,02:35,03:50,Lawrence 003,,,,,,,,,Lewis,Michael,,,,,,,,,,,AMST, 264,1151
1,American Studies,AMST,016857,2,Not Offered Academic Year 2015,last offered Spring 2013,AMST, 265,Pop Art,,,(W),ARTH 265/AMST 265,Secondary,"The use of commercial and mass media imagery in art became recognized as an international phenomenon in the early 1960s. Items such as comic strips, advertising, movie stills, television programs, soup cans, ""superstars"" and a variety of other accessible and commonplace objects inspired the subject matter, form and technique. This course will critically examine the history and legacy of Pop Art by focusing on its social and aesthetic contexts. An important component of the course involves developing skills in analyzing visual images, comparing them with other forms, and relating them to their historical context. ",lecture/discussion,"two short response papers, oral presentation, and one final research paper",ARTH 102,16,,,,meets Division 1 requirement if registration is under ARTH; meets Division 2 requirement if registration is under AMST,,,,Division 1,,,Writing Intensive,AMST Arts in Context Electives,,,,,,,,,,,LEC,,,,,,,,,,,,,Chavoya,C. Ondine,,,,,,,,,,,AMST, 265,1133
1,American Studies,AMST,019007,3,Not Offered Academic Year 2015,last offered Fall 2012,AMST, 267,Race in the Americas,(D),,,AFR 267/SOC 267/AMST 267,Secondary,"This course is designed to provide students with a fundamental understanding of the historical development and changing dynamics of race in North America, the Caribbean, and South America.  In doing so, we will take on the fundamental position that race is a meaningful classification of human bodies.  The question we will keep in front of us at all times is this: How does social milieu determine the meaningfulness of race?  Racial classifications, like all classifications, are collectively imagined, and appear mired in various spheres of social life.  We will devote a fair amount of attention to the meaning of race in personal experience, economic production and distribution, political organization, and popular culture.  The complexity of race will be explored within a number of writings by authors such as Michael Hanchard, Edwidge Dandicat, and Patricia Hill Collins. This EDI course explores the experiences and expressions of the culturally diverse peoples of African descent in the New World, as well as the myriad ways in which they confront, negotiate, and at times challenge dominant U.S. and/or European social hierarchies.",discussion/lecture,"evaluation will be based on class participation, 2-3 short papers (5-7 pages), and a self-scheduled final examination",none; open to all,20,,,,,,,,Division 2,Exploring Diversity,,,AFR Core Electives,"AMST Comp Studies in Race, Ethnicity, Diaspora",,,,,,,,,,LEC,,,,,,,,,,,,,Manigault-Bryant,James,,,,,,,,,,,AMST, 267,1131
1,American Studies,AMST,019514,2,Spring 2015,,AMST, 272,American Postmodern Fiction,,,,ENGL 272/AMST 272,Secondary,"American fiction took a turn at World War II:  the simplest way to name the turn is from modernism to postmodernism.  The most obvious mark of postmodern narration is its self-consciousness; postmodern books tend to be about themselves, even when they are most historical or realistic.  Already a paradox emerges:  why would World War II make narratives more self-reflexive?  The first book in the course, and the best for approaching this paradox, is Joseph Heller's <I>Catch-22</I>.  Subsequent books:  Nabokov's<I> Pale Fire</I>, Pynchon's <I>The Crying of Lot 49</I>, Morrison's <I>Beloved</I>, DeLillo's <I>White Noise</I>, Carver's <I>What We Talk About When We Talk About Love</I>, Johnson's <I>Jesus' Son</I>.",seminar,"three papers, 3-4 pp., 4-6 pp., and 6-8 pp; class participation","a 100-level ENGL course, or a score of 5 on the AP English Literature exam, or a score of 6 or 7 on the Higher Level IB English exam",25,20,sophomores and first-year students,,meets Division 1 requirement if registration is under ENGL; meets Division 2 requirement if registration is under AMST,may not be taken on a pass/fail basis,,,Division 1,,,,AMST Arts in Context Electives,ENGL Literary Histories C,,,,,,,,,01,SEM,TF,02:35,03:50,,,,,,,,,,Limon,John,,,,,,,,,,,AMST, 272,1153
1,American Studies,AMST,019940,2,Fall 2014,,AMST, 279,From Cahokia to Casinos:  Histories of Native North America from Precontact to the Present,,,,HIST 279/AMST 279,Secondary,"This course will introduce students to the Native histories of North America, from theories about the arrival of the ""first Americans"" to this continent, through the possibilities of early encounters and the challenges of different colonial systems, to the creation of the United States and subsequent policies of forced removal, allotment, assimilation, and education. We will also focus on Native responses to such policies, including the Red Power movement and other efforts aimed at gaining the right to be both Native and American. Finally, we will examine the issues facing Indian Country today (such as environmental worries, health concerns, and gaming and land rights) as Native peoples continue to fight to maintain their political, cultural, and territorial sovereignty in the face of what many see as an ongoing process of imperialism. Throughout, we will assume that Native Americans were and are active producers of their own histories; by seeing Native agency, adaptability, and tenacity, we can undermine the persistent ""myth of the vanishing Indian"". By the end of the course, students will be able to reevaluate their understanding of North American history in general and to answer the question of why Native American histories matter to all of us.",lecture/discussion,"students will be evaluated based on their participation in class discussion and completion of the required assignments, including a writing assignment and midterm and final exams",none,40,20,History majors,,,may not be taken on a pass/fail basis; not available for the Gaudino option,,,Division 2,,,,HIST Group F Electives - U.S. + Canada,HIST Group G Electives - Premodern,,,,,,,,,01,LEC,Cancelled,,,Cancelled,,,,,,,,,,,,,,,,,,,,,AMST, 279,1151
1,American Studies,AMST,016908,2,Not Offered Academic Year 2015,last offered Fall 2013,AMST, 284,Introduction to Asian American History,(D),,,HIST 284/AMST 284/ASST 284,Secondary,"This course serves as the introduction to Asian American history, roughly covering the years 1850 to the present. It examines the lives of Chinese, Japanese, Koreans, Filipinos, Indians, and Southeast Asians in America, and the historical reasons why they came to the US and their subsequent interactions with other ethno-racial groups in the United States. Topics include the anti-Asian exclusion movements, the wartime incarceration of Japanese Americans, the increase of Asian immigration after the 1965 Immigration Act and the war in Viet Nam, and the impact of the events of September 11, 2001 on Asian American communities. These themes and others will be explored through the use of historical texts, primary documents, novels, memoirs, and films. This is an EDI course because it examines how people from different Asian countries and cultures interacted with each other and those already here in the US. Theirs is a story of immigration, exclusion, resistance, accommodation, and the process of ""becoming American.""",lecture/discussion,"evaluation will be based on four response papers, two short critical essay (5-7 pages) and a final oral history/family history of an Asian American (10-15 pages)",none; open to all,40,30,,,,,,,Division 2,Exploring Diversity,,,"AMST Comp Studies in Race, Ethnicity, Diaspora",ASAM Core Courses,HIST Group F Electives - U.S. + Canada,,,,,,,,,LEC,,,,,,,,,,,,,Wong,Scott,,,,,,,,,,,AMST, 284,1141
1,American Studies,AMST,019397,2,Not Offered Academic Year 2015,last offered Spring 2013,AMST, 300,Lessons of 'The Game': The Wire and American Culture,,,,AFR 300/AMST 300/SOC 306,Secondary,"The critically acclaimed television program, <I>The Wire</I>, ran for five seasons on Home Box Office (HBO) between 2002 and 2008. Set in ""inner city"" Baltimore, the program addressed a wide array of topics, including, but not limited to, the urban drug trade, law enforcement, local city politics, labor unions, education, and the newspaper industry. Though a work of ""fiction,"" sociologist William Julius Wilson has called the show an important and instructive portrayal of the ""deep inequality in inner-city America."" By contrast, some scholars and critics have decried the series and indeed, courses like this one, as examples of mainstream America's fascination with and acceptance of African American drug use, criminal tendencies, and corruption. In this course, we will not deconstruct <I>The Wire</I> per se, but use select episodes from the series to explore key issues in Africana Studies, ranging from political geography to a history of Baltimore and the ""War on Drugs."" Students should have some familiarity with the show. Africana Studies will show select episodes during Winter Study. Readings will include texts about African American urban life, such as Elijah Anderson's <I>Code of the Street</I> and Sudhir Venkatesh's <I>Gang Leader for a Day.</I> Due to its attention to crime, drug addiction, violence, and urban decay, this course is a part of the Gaudino Danger Initiative.",lecture,"evaluation will be based on 2-3 short papers (5-7 pages), and a final written project (10 pages)",none,50,50,none,,,not available to be taken Pass/Fail,,,Division 2,,,,AFR Core Electives,AMST Arts in Context Electives,"AMST Comp Studies in Race, Ethnicity, Diaspora",,,,,,,,,LEC,,,,,,,,,,,,,Manigault-Bryant,James,,,,,,,,,,,AMST, 300,1133
1,American Studies,AMST,018937,1,Spring 2015,,AMST, 301,Theories and Methods in American Studies (Junior Seminar),,,,,,"This course aims to provide a ""how to"" of American Studies from an integrative, multiracial, and socio-cultural perspective. Taking American culture as a site for testing classic and contemporary theories about how cultures work, the Junior Seminar in American Studies serves as an introduction to resources and techniques for interdisciplinary research. Students will be exposed to and experiment with a wide range of current theoretical and methodological approaches employed in American Studies and contributing disciplinary fields, and in the process gain a working competence in all four tracks of the major (Space and Place; Comparative Studies in Race, Ethnicity and Diaspora; Arts in Context; and Critical and Cultural Theory). The goal of the course is not only for students to develop knowledge of main currents in the field of American Studies but also to become practitioners through a series of assignments that will permit students to exercise their newfound skills. Students will thus, for instance, develop rhetorical analyses, gather ethnographic data, and ""read"" assorted spaces and buildings, as the class explores such problems or topics as national narratives, ethnoracial formations, the American prison system, and the circulation of commodities.",discussion,"evaluation will be based on class participation and a wide variety of student assignments, ranging from postings to the class Glow site, to short, analytical essays (5 pp.), to field work exercises, to in class presentations","AMST 201, junior or senior standing, or permission of the instructor",15,12,juniors majoring in American Studies,required of junior majors,,,,,Division 2,,,,,,,,,,,,,,01,SEM,MR,01:10,02:25,,,,,,,,,,Andrews,John,,,,,,,,,,,AMST, 301,1153
1,American Studies,AMST,012047,1,Not Offered Academic Year 2015,last offered Fall 2009,AMST, 302,Public Sphere/Public Space,,,(W),AMST 302/PSCI 335,Primary,"The ""public sphere,"" one of the core concepts of modern democratic thought, has taken on renewed significance in intellectual life today. This writing-intensive seminar looks briefly at the evolution of the term, but concentrates on its relevance to contemporary politics. Our investigations will center on the character and meanings of public space. We will look at space both as a key metaphor in political theory and as a medium of everyday practical struggle: that is, we will examine not only some of the most influential conceptions of public life, but also the political forces shaping and shaped by the practical design and use of the built environment. These examinations will combine critical reading and analytical writing with field observations, group work, and oral presentations. Our primary focus will be on the following topics: the relationship between ideas of citizenship and models of the public; the racing, gendering, and class-stratification of spaces (civic, residential, commercial, etc.); urbanity and suburbanization; the kinds of spaces and politics opened and closed by the internet and contemporary mass media; the effects of contemporary processes of globalization on political identity and democratic practices. Likely authors include Arendt, Berman, Davis, Delany, Foucault, Fraser, Gamson, Habermas, Hall, Harvey, Holston, Sennett, Sunstein, Virilio.",discussion,"regular participation in class and on line, one 3-page paper, three 6-page papers, and two ethnographic field exercises/presentations",prior work in theory or permission of the instructor,18,18,,,,,,,Division 2,,,Writing Intensive,AMST Critical and Cultural Theory Electives,AMST Space and Place Electives,ENVP SC-B Group Electives,PSCI Political Theory Courses,,,,,,,,LEC,,,,,,,,,,,,,Reinhardt,Mark,,,,,,,,,,,AMST, 302,1101
1,American Studies,AMST,019008,4,Not Offered Academic Year 2015,last offered Spring 2012,AMST, 304,The Sociology of Black Religious Experience,,,,AFR 305/REL 315/SOC 305/AMST 304,Secondary,"The United House of Prayer For All People.  The Nation of Islam.  New Birth Missionary Baptist Church.  The African-American Buddhist Retreat at Spirit Rock Meditation Center.  While each of these groups reflects a different spiritual tradition, all are examples of the rich religious expressions of Black Americans.  This course will introduce students to the landscape of Black religious practices in the United States.  We will begin with a historical survey of the literature on Black religions.  Our review will yield some of the primary themes of the Black religious experience--the injustices of modern racism, the significance of liberation, and continued meaning of Africa as a homeland.  We will then investigate how secular processes like industrialization, commodification, and the modern media, alter understandings of the sacred in Black experience.",seminar/discussion,"evaluation will be based upon class participation, 2-3 short papers, and a final research paper",none; open to all,15,10,Africana Studies concentrators and Anthropology/Sociology majors,this course DOES NOT  fulfill the body of theory seminar requirement for Religion majors; this course will count as an elective towards the major in Religion,,,,,Division 2,,,,AFR Core Electives,"AMST Comp Studies in Race, Ethnicity, Diaspora",REL Africa + African Diaspora Tradition Courses,,,,,,,,,SEM,,,,,,,,,,,,,Manigault-Bryant,James,,,,,,,,,,,AMST, 304,1123
1,American Studies,AMST,018075,1,Not Offered Academic Year 2015,last offered Spring 2012,AMST, 305,Cities of the Anglophone Chinese Imagination,(D),,,AMST 305/ASST 305/COMP 303/ENGL 374,Primary,"The current academic vogue for the ""diasporic"" and the ""transnational"" has shifted the emphasis away from viewing ethnic literatures solely, or primarily, as minority national literatures and towards reading them more ""globally."" Such a re-framing, while potentially exciting, raises new questions. For example, what exactly is shared by subjects in a given diaspora? Does the term ""diaspora"" necessarily invoke the specter of racial essentialism? What happens to concepts of of race, racialization and racism when one moves away from local and national politics? Is the idea of a diasporic subject much less vexing than the idea of a racially minoritized person? How important a role does the shared English language play in these diasporas? In this course, we will look at the works of a specific diasporic literary group, English-language writers of Chinese descent, living in England, former British settler colonies (the United States, Canada, Australia) and other sites in Asia formerly colonized by the British.  We will consider how geographic sites function as material spaces and places of the imagination and how the English language is itself a material and imaginary space.",discussion/seminar,"evaluation will be based on one 5- to 7-page paper, one 8- to 10-page paper, short response papers, participation",those taking this as an ENGL class must have previously taken a 100-level ENGL course,17,10,American Studies majors,,meets Division 2 requirement if registration is under AMST or ASST; meets Division 1 requirement if registration is under COMP or ENGL,,,,Division 2,Exploring Diversity,,,AMST Arts in Context Electives,"AMST Comp Studies in Race, Ethnicity, Diaspora",AMST Space and Place Electives,,,,,,,,,SEM,,,,,,,,,,,,,Wang,Dorothy,,,,,,,,,,,AMST, 305,1123
1,American Studies,AMST,019568,2,Spring 2015,,AMST, 306,"Queer of Color Critique: Race, Sex and Urban Life",(D),,,WGSS 306/AMST 306/AFR 306/LATS 306/COMP 304,Secondary,"This seminar is an introduction to queer of color critique, a field of scholarship that seeks to intervene in the predominantly white canon of queer studies. We will examine the history of this line of critique, beginning with Black and Chicana feminisms and extending into present day issues and activism highlighting intersectionality, exploring how and why QOCC became a necessary intervention into the then still emerging field of queer studies.  Our texts include scholarly works as well as science fiction novels, plays, films, diaries, and graphic novels.  Methodologically, we draw on many fields of study, including anthropology, literary studies, feminist studies, and ethnic studies. We focus primarily but by no means exclusively on US contexts, paying particular attention to the role that urban environments have served for queer communities of color.  Topics include: feminisms of color, inter-racial desire and fetishization, orientalism and colonial fantasy, black queer science fiction, transgender subjectivities, and the political economy of sexual desire. A key feature of this course will also be the inclusion of numerous and diverse authors to appear on Skype or in person to answer questions about their work as we read it in class.",discussion/lecture,"mid-term essay, choice of final exam essay or 8-10 page research paper, responses to performance/special events",none,15,15,"WGSS majors, students considering a WGSS major",,"meets Division 2 requirement if registration is under WGSS, AMST, AFR or LATS; meets Division 1 requirement if registration is under COMP",,,,Division 2,Exploring Diversity,,,"AMST Comp Studies in Race, Ethnicity, Diaspora",AMST Critical and Cultural Theory Electives,ASAM Related Courses,WGSS Racial Sexual + Cultural Diversity Courses,WGSS Theory Courses,,,,,,01,LEC,TR,11:20,12:35,,,,,,,,,,Mitchell,Gregory,,,,,,,,,,,AMST, 306,1153
1,American Studies,AMST,019644,1,Not Offered Academic Year 2015,last offered Fall 2013,AMST, 307,Experimental African American Poetry,,,,AMST 307/COMP 311/AFR 301/ENGL 327,Primary,"Contemporary African American poets in various cities and towns across the nation--from New York City, Providence, and Newark to Durham, Chicago, and Los Angeles--are currently producing a vibrant and thriving body of formally experimental work, yet this poetry is largely unknown to readers both within and outside the academy. Formally innovative African American poetry defamiliarizes what we normally expect of ""black writing"" and also pushes us to question our assumptions and presumptions about black identity, ""identity politics,"" experimental writing (is the avant-garde implicitly raced?), formalism, socially ""relevant"" writing, the (false) dichotomy of form versus content, the black ""community,"" digital poetics, and other issues of race and aesthetics. 
This course will examine the work of living poets who range in age from 30's to 80's, including Amiri Baraka, Ed Roberson, Nate Mackey, Will Alexander, Harryette Mullen, Tyrone Williams, John Keene, Fred Moten, Erica Hunt, and Renee Gladman. We will also look at the work of some of their avant-garde predecessors in the twentieth century (such as Bob Kaufman, Gwendolyn Brooks, Norman Pritchard, Russell Atkins), as well as critical work by Mackey, Moten, and Aldon Nielsen, among others.",seminar,"two papers (6-8 pp., 8-10 pp.), short response papers, oral presentation, and class participation","none, though at least one previous literature course preferred",15,15,American Studies majors,,meets Division 2 requirement if registration is under AMST or AFR; meets Division 1 requirement if registration is under COMP or ENGL,,,,Division 2,,,,AMST Arts in Context Electives,"AMST Comp Studies in Race, Ethnicity, Diaspora",,,,,,,,,,SEM,,,,,,,,,,,,,Wang,Dorothy,,,,,,,,,,,AMST, 307,1141
1,American Studies,AMST,019263,4,Not Offered Academic Year 2015,last offered Fall 2011,AMST, 309,Womanist/Black Feminist Thought,(D),,,AFR 310/REL 310/WGSS 310/AMST 309,Secondary,"This course explores the genealogy and development of black feminist and womanist thought. We will investigate the expansion of womanist thought from a theologically dominated discourse to a broader category of critical reflection associated more commonly with black feminism, analyze the relationship between womanism and black feminism, and review the historical interventions of black feminism. As critical reflections upon western norms of patriarchy, heterosexism, and racism, womanism and black feminism begin with the assumption that the experiences of women of color--particularly black women--are significant standpoints in modern western society. Through the examination of interdisciplinary and methodological diversity within these fields, students will be introduced to key figures including Alice Walker, Zora Neale Hurston, and Katie Cannon, and will engage materials that draw from multiple fields, including, but not limited to, literature, history, anthropology, and religious studies. Fulfilling the EDI requirement, this course will explore how womanism/black feminism can be a bridge for empathetic understanding of diverse experiences, and will examine the varied social, political, and historical contexts that led to the formulation of womanism/black feminism as a tool to critique power and privilege.",lecture/discussion,"evaluation will be based on class participation, three short response papers, and the completion of an original research paper or project",none,25,20,"Africana Studies concentrators, Women's, Gender and Sexuality Studies majors, Religion majors",,,,,,Division 2,Exploring Diversity,,,AFR Core Electives,"AMST Comp Studies in Race, Ethnicity, Diaspora",AMST Critical and Cultural Theory Electives,REL Africa + African Diaspora Tradition Courses,REL Body of Theory Courses,WGSS Racial Sexual + Cultural Diversity Courses,WGSS Theory Courses,,,,,LEC,,,,,,,,,,,,,Manigault-Bryant,Rhon,,,,,,,,,,,AMST, 309,1121
1,American Studies,AMST,019634,1,Not Offered Academic Year 2015,last offered Spring 2013,AMST, 310,Race Wars in America,(D),,,,,"This course examines the ways in which race/racism and war/militarism have operated as mutually constitutive processes throughout the twentieth century.  At the same time that America's wars abroad--from the Philippines and Cuba in 1898 to Iraq and Afghanistan--have highlighted ""new"" and ""old"" forms of racism, they have also been central to shaping ""common-sense"" racial ideologies and projects.  This class can be considered a broad cultural history of race and race-making, but our framework means to foreground the inherence of <I>violence</I> of the story and history of race, both recognizable and hidden.  We will be particularly attentive to the uneven distribution and experiences of war and violence and the ways in which they are racialized and gendered. Given our topic and framework, then, keep in mind that there will be a fair amount of representations of physical and other kinds of violence in the course materials.  Course materials will range from and include literary (selected works by Chester Himes among others) but also scholarly/theoretical (Judith Butler, Michel Foucault, etc.) and cultural/visual (including films, to be determined) texts.  This course reflects the aims of Exploring Diversity Initiative by critically considering the rhetoric of ""diversity"" that often forgets the very real existence of violence in encounters with difference and otherness.",lecture,"active in-class and on-line participation; 2-3 short response papers, in-class presentation and/or workshop; final paper",none,25,,,,,,,,Division 2,Exploring Diversity,,,"AMST Comp Studies in Race, Ethnicity, Diaspora",,,,,,,,,,,LEC,,,,,,,,,,,,,Um,Ji-Young,,,,,,,,,,,AMST, 310,1133
1,American Studies,AMST,020036,1,Spring 2015,,AMST, 311,Development of American Indian Law & Policy,(D),,,AMST 311/HIST 368,Primary,"In this course, we will conceptualize Native peoples as nations, not merely racial/ethnic minorities. Students will learn about the unique legal landscape in Indian Country by charting the historical development of tribal governments and the ever-changing body of U.S. law and policy that regulates Indian affairs. We begin by studying Indigenous legal traditions, the European doctrine of discovery, and diplomatic relations between Native nations and European empires. We then shift our focus to treaty-making, the constitutional foundations of federal Indian law, 19th century U.S. Supreme Court decisions, and the growth of the federal bureaucracy in Indian Country. The course devotes considerable attention to the expansion of tribal governmental authority during the 20th century, the contemporary relationship between Indian tribes and the federal/state governments, and the role of federal Indian law as both a tool of U.S. colonial domination and a mechanism for protecting the interests of Indigenous communities. No prior background in law or Native American history is required.",lecture,"evaluation will be based upon short papers, group work, and in-class essay exams",none,25,20,American Studies majors and History majors,,,,,,Division 2,Exploring Diversity,,,HIST Group F Electives - U.S. + Canada,JLST Interdepartmental Electives,,,,,,,,,01,LEC,TR,11:20,12:35,,,,,,,,,,Kiel,Doug,,,,,,,,,,,AMST, 311,1153
1,American Studies,AMST,018726,2,Not Offered Academic Year 2015,last offered Spring 2012,AMST, 312,Chicago,,,,LATS 312/AMST 312/ENVI 313,Secondary,"""The city of big shoulders has plenty of room for diversity,"" reads the official visitor's website for the City of Chicago. Focusing on this claim, this course asks students to think critically about what kind room has been made for diversity--social, spatial, and ideological. Additionally we examine the ways in which diverse social actors have shouldered their way into the imagined and physical landscape of the city. Working with ethnography, history, literature, critical essays, and popular culture, we will explore the material and discursive constructions of Chi-Town and urban life among its residents. Appreciating these constructions we also consider how Chicago has served as a key site for understandings of urbanity within a broader national and global context.",discussion,"evaluation will be based on attendance and class participation, group presentations and discussions, 5 critical briefs ( 2-pages) and a book review essay (12-15 pages)",none,20,15,"American Studies majors, Latina/o Studies concentrators and students who have taken LATS 220/AMST 221/ENVI 221",,,,,,Division 2,,,,"AMST Comp Studies in Race, Ethnicity, Diaspora",AMST Space and Place Electives,"ENVI Humanities, Arts + Social Science Electives",ENVP SC-B Group Electives,LATS Core Electives,,,,,,,LEC,,,,,,,,,,,,,Rua,Merida,,,,,,,,,,,AMST, 312,1123
1,American Studies,AMST,019250,2,Fall 2014,,AMST, 313,"Gender, Race, and the Power of Personal Aesthetics",(D),,,LATS 313/AMST 313/WGSS 313,Secondary,"This course focuses on the politics of personal aesthetics among U.S. women of color in an era of viral video clips, the 24-hour news cycle, and e-commerce sites dedicated to the dermatological concerns of ""minority"" females. With a comparative, transnational emphasis on the ways in which gender, sexuality, ethno-racial identity, and class inform personal style, we will examine a variety of materials including commercial websites, histories, personal narratives, ethnographies, sociological case studies, and feminist theory. Departing from the assumption that personal aesthetics are intimately tied to issues of power and privilege, we will engage the following questions: What are the everyday functions of personal aesthetics among women of color? Is it feasible to assert that an easily identifiable ""African American,"" ""Latina,"" ""Arab American"" or ""Asian American"" female aesthetic exists? What role do transnational media play in the development and circulation of popular aesthetic forms? How might the belief in personal style as a tactic of resistance challenge traditional understandings of what it means to be a ""feminist"" in the first place? Readings include works by Susan Bordo, Ginetta Candelario, Patricia Hill Collins, Amira Jarmakani, Nadine Naber, Lisa Nakamura, Frances Negrón-Muntaner, Kobena Mercer, and Catherine Ramírez, among others.",seminar,"participation, one student-led discussion period, two written essays of 5-7 pages, final take-home exam","LATS 105, AMST 201, WGSS 101 or permission of the instructor; first year students are not permitted to take this course",12,12,"Latina/o Studies concentrators, American Studies majors, and Women's, Gender and Sexuality Studies majors by seniority",,,may not be taken on a pass/fail basis,,,Division 2,Exploring Diversity,,,"AMST Comp Studies in Race, Ethnicity, Diaspora",ASAM Related Courses,WGSS Racial Sexual + Cultural Diversity Courses,WGSS Theory Courses,,,,,,,01,SEM,MR,02:35,03:50,Hollander 241,,,,,,,,,Cepeda,Maria Elena,,,,,,,,,,,AMST, 313,1151
